"filename", "language", "Dart", "XML", "JSON", "comment", "blank", "total"
"/Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_RichInput.dart", "Dart", 449, 0, 0, 7, 16, 472
"/Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_comment.dart", "Dart", 737, 0, 0, 2, 24, 763
"/Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_comment_tab.dart", "Dart", 212, 0, 0, 0, 8, 220
"/Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_detail.dart", "Dart", 1220, 0, 0, 23, 43, 1286
"/Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_detailBottom.dart", "Dart", 233, 0, 0, 0, 9, 242
"/Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_detail_time.dart", "Dart", 308, 0, 0, 1, 7, 316
"/Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_edit.dart", "Dart", 542, 0, 0, 17, 28, 587
"/Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_more.dart", "Dart", 425, 0, 0, 4, 14, 443
"/Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_sendFunc.dart", "Dart", 120, 0, 0, 0, 4, 124
"/Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_vote.dart", "Dart", 191, 0, 0, 0, 9, 200
"/Users/xusun/Desktop/Flutter/offershow/lib/page/topic/topic_water.dart", "Dart", 117, 0, 0, 0, 4, 121
"/Users/xusun/Desktop/Flutter/offershow/lib/page/user_list/user_list.dart", "Dart", 244, 0, 0, 0, 12, 256
"/Users/xusun/Desktop/Flutter/offershow/lib/page/waterTask/task_list.dart", "Dart", 227, 0, 0, 1, 12, 240
"/Users/xusun/Desktop/Flutter/offershow/lib/page/waterTask/water_inout_detail.dart", "Dart", 250, 0, 0, 1, 12, 263
"/Users/xusun/Desktop/Flutter/offershow/lib/page/waterTask/water_task.dart", "Dart", 741, 0, 0, 15, 24, 780
"/Users/xusun/Desktop/Flutter/offershow/lib/page/water_total/water_total.dart", "Dart", 152, 0, 0, 2, 8, 162
"/Users/xusun/Desktop/Flutter/offershow/lib/router/router.dart", "Dart", 82, 0, 0, 0, 2, 84
"/Users/xusun/Desktop/Flutter/offershow/lib/util/cache_manager.dart", "Dart", 10, 0, 0, 6, 2, 18
"/Users/xusun/Desktop/Flutter/offershow/lib/util/interface.dart", "Dart", 451, 0, 0, 19, 31, 501
"/Users/xusun/Desktop/Flutter/offershow/lib/util/mid_request.dart", "Dart", 131, 0, 0, 7, 9, 147
"/Users/xusun/Desktop/Flutter/offershow/lib/util/provider.dart", "Dart", 162, 0, 0, 6, 27, 195
"/Users/xusun/Desktop/Flutter/offershow/lib/util/storage.dart", "Dart", 17, 0, 0, 6, 3, 26
"Total", "-", 32736, 1284, 2, 877, 2043, 36942
